2026-02-08 21:46:22.328 | INFO     | src.rwaengine.utils.portfolio_loader:_load_portfolios:34 - Loaded portfolio definitions from portfolios.json
2026-02-08 21:46:22.328 | INFO     | src.rwaengine.utils.portfolio_loader:get_tickers:55 - Selected Portfolio 'mag_seven': 7 assets
2026-02-08 21:46:22.328 | INFO     | __main__:main:83 - 📡 Fetching Data for [ML] Strategy...
2026-02-08 21:46:22.328 | INFO     | src.rwaengine.data.adapters.yfinance_adapter:fetch_history:24 - Fetching 8 assets (2023-02-09 to 2026-02-08) | Proxy: None
2026-02-08 21:46:22.807 | SUCCESS  | src.rwaengine.data.adapters.yfinance_adapter:fetch_history:59 - Fetched 6008 rows successfully.
2026-02-08 21:46:22.809 | INFO     | src.rwaengine.analysis.backtester:run:24 - ⏳ Starting Multi-Strategy Backtest from 2024-02-12...
2026-02-08 21:46:22.810 | INFO     | src.rwaengine.strategy.factory:get_generator:27 - Initializing Strategy Engine: Mode=ML
2026-02-08 21:46:22.811 | INFO     | src.rwaengine.strategy.generators.ml_predictor:generate_views:65 - Training Linear Regression models for 7 assets...
2026-02-08 21:46:22.811 | ERROR    | src.rwaengine.strategy.generators.ml_predictor:generate_views:125 - ML training failed for AAPL: Series.to_frame() got an unexpected keyword argument 'columns'
2026-02-08 21:46:22.811 | ERROR    | src.rwaengine.strategy.generators.ml_predictor:generate_views:125 - ML training failed for MSFT: Series.to_frame() got an unexpected keyword argument 'columns'
2026-02-08 21:46:22.811 | ERROR    | src.rwaengine.strategy.generators.ml_predictor:generate_views:125 - ML training failed for GOOGL: Series.to_frame() got an unexpected keyword argument 'columns'
2026-02-08 21:46:22.811 | ERROR    | src.rwaengine.strategy.generators.ml_predictor:generate_views:125 - ML training failed for AMZN: Series.to_frame() got an unexpected keyword argument 'columns'
2026-02-08 21:46:22.811 | ERROR    | src.rwaengine.strategy.generators.ml_predictor:generate_views:125 - ML training failed for NVDA: Series.to_frame() got an unexpected keyword argument 'columns'
2026-02-08 21:46:22.812 | ERROR    | src.rwaengine.strategy.generators.ml_predictor:generate_views:125 - ML training failed for META: Series.to_frame() got an unexpected keyword argument 'columns'
2026-02-08 21:46:22.812 | ERROR    | src.rwaengine.strategy.generators.ml_predictor:generate_views:125 - ML training failed for TSLA: Series.to_frame() got an unexpected keyword argument 'columns'
2026-02-08 21:46:22.812 | SUCCESS  | src.rwaengine.strategy.generators.ml_predictor:generate_views:127 - Generated 0 views from ML models.
2026-02-08 21:46:22.812 | INFO     | src.rwaengine.core.engine:__init__:26 - Computing Covariance Matrix (Ledoit-Wolf)...
2026-02-08 21:46:22.814 | INFO     | src.rwaengine.core.engine:run_optimization:42 - Calculating Market Implied Returns (Prior)...
2026-02-08 21:46:22.815 | INFO     | src.rwaengine.core.engine:run_optimization:52 - Market Implied Risk Aversion (Delta): 2.5000
2026-02-08 21:46:22.815 | WARNING  | src.rwaengine.core.engine:run_optimization:62 - No views provided. Fallback to Market Prior.
2026-02-08 21:46:22.815 | INFO     | src.rwaengine.core.engine:run_optimization:85 - Optimizing Portfolio Weights (Max Sharpe)...
2026-02-08 21:46:22.823 | INFO     | src.rwaengine.execution.risk_manager:apply_guardrails:34 - 🛡️ Applying Audit Guardrails (V2 - Strict Cap)...
2026-02-08 21:46:22.824 | SUCCESS  | src.rwaengine.execution.risk_manager:apply_guardrails:64 - Risk Check Passed. Final Liquidity (USDC): 5.00%
2026-02-08 21:46:22.832 | INFO     | src.rwaengine.execution.risk_manager:apply_guardrails:34 - 🛡️ Applying Audit Guardrails (V2 - Strict Cap)...
2026-02-08 21:46:22.833 | WARNING  | src.rwaengine.execution.risk_manager:apply_guardrails:53 - Capping concentrated positions: ['NVDA', 'META']
2026-02-08 21:46:22.833 | SUCCESS  | src.rwaengine.execution.risk_manager:apply_guardrails:64 - Risk Check Passed. Final Liquidity (USDC): 40.00%
2026-02-08 21:46:22.836 | INFO     | src.rwaengine.analysis.backtester:run:70 - 📅 Step 2024-02-12: Rebalanced.
2026-02-08 21:46:22.836 | INFO     | src.rwaengine.strategy.factory:get_generator:27 - Initializing Strategy Engine: Mode=ML
